2026-02-16 16:43:44,075 | INFO | pipeline | [STEP 1/10] Loading merchant dataset
2026-02-16 16:43:44,160 | INFO | pipeline | Loaded 50 rows
2026-02-16 16:43:44,161 | INFO | pipeline | Valid rows: 50
2026-02-16 16:43:44,162 | INFO | pipeline | [STEP 2/10] Ensuring internal API is running
2026-02-16 16:43:44,260 | INFO | pipeline | Internal API is ready to use
2026-02-16 16:43:44,261 | INFO | pipeline | [STEP 3/10] Starting background PDF extraction
2026-02-16 16:43:44,273 | INFO | pipeline | [STEP 4/10] Fetching country metadata (parallel)
2026-02-16 16:44:01,672 | INFO | pipeline | SUCCESS country=Spain
2026-02-16 16:44:01,677 | INFO | pipeline | SUCCESS country=Germany
2026-02-16 16:44:01,681 | INFO | pipeline | SUCCESS country=United States
2026-02-16 16:44:01,685 | INFO | pipeline | SUCCESS country=France
2026-02-16 16:44:01,685 | INFO | pipeline | SUCCESS country=United Kingdom
2026-02-16 16:44:18,702 | INFO | pipeline | SUCCESS country=Italy
2026-02-16 16:44:18,726 | INFO | pipeline | SUCCESS country=Ireland
2026-02-16 16:44:18,732 | INFO | pipeline | SUCCESS country=Portugal
2026-02-16 16:44:18,740 | INFO | pipeline | SUCCESS country=Belgium
2026-02-16 16:44:18,740 | INFO | pipeline | SUCCESS country=Netherlands
2026-02-16 16:44:35,839 | INFO | pipeline | SUCCESS country=Sweden
2026-02-16 16:44:35,842 | INFO | pipeline | SUCCESS country=Denmark
2026-02-16 16:44:35,858 | INFO | pipeline | SUCCESS country=Poland
2026-02-16 16:44:35,868 | INFO | pipeline | SUCCESS country=Austria
2026-02-16 16:44:35,869 | INFO | pipeline | SUCCESS country=Czech Republic
2026-02-16 16:44:52,947 | INFO | pipeline | SUCCESS country=Norway
2026-02-16 16:44:52,963 | INFO | pipeline | SUCCESS country=Finland
2026-02-16 16:44:52,991 | INFO | pipeline | SUCCESS country=Hungary
2026-02-16 16:44:52,992 | INFO | pipeline | SUCCESS country=Greece
2026-02-16 16:44:52,997 | INFO | pipeline | SUCCESS country=Romania
2026-02-16 16:45:10,045 | INFO | pipeline | SUCCESS country=Slovakia
2026-02-16 16:45:10,046 | INFO | pipeline | SUCCESS country=Croatia
2026-02-16 16:45:10,047 | INFO | pipeline | SUCCESS country=Bulgaria
2026-02-16 16:45:10,053 | INFO | pipeline | Fetched metadata for 23 countries
2026-02-16 16:45:10,054 | INFO | pipeline | [STEP 5/10] Fetching internal risk data (parallel)
2026-02-16 16:45:10,278 | INFO | pipeline | SUCCESS merchant_id=M001
2026-02-16 16:45:10,287 | INFO | pipeline | SUCCESS merchant_id=M002
2026-02-16 16:45:10,335 | INFO | pipeline | SUCCESS merchant_id=M004
2026-02-16 16:45:10,336 | INFO | pipeline | SUCCESS merchant_id=M005
2026-02-16 16:45:10,337 | INFO | pipeline | SUCCESS merchant_id=M008
2026-02-16 16:45:10,338 | INFO | pipeline | SUCCESS merchant_id=M006
2026-02-16 16:45:10,339 | INFO | pipeline | SUCCESS merchant_id=M003
2026-02-16 16:45:10,339 | INFO | pipeline | SUCCESS merchant_id=M007
2026-02-16 16:45:10,340 | INFO | pipeline | SUCCESS merchant_id=M009
2026-02-16 16:45:10,343 | INFO | pipeline | SUCCESS merchant_id=M013
2026-02-16 16:45:10,367 | INFO | pipeline | SUCCESS merchant_id=M014
2026-02-16 16:45:10,374 | INFO | pipeline | SUCCESS merchant_id=M011
2026-02-16 16:45:10,391 | INFO | pipeline | SUCCESS merchant_id=M015
2026-02-16 16:45:10,409 | INFO | pipeline | SUCCESS merchant_id=M016
2026-02-16 16:45:10,411 | INFO | pipeline | SUCCESS merchant_id=M017
2026-02-16 16:45:10,414 | INFO | pipeline | SUCCESS merchant_id=M018
2026-02-16 16:45:10,417 | INFO | pipeline | SUCCESS merchant_id=M012
2026-02-16 16:45:10,421 | INFO | pipeline | SUCCESS merchant_id=M019
2026-02-16 16:45:10,432 | INFO | pipeline | SUCCESS merchant_id=M010
2026-02-16 16:45:10,454 | INFO | pipeline | SUCCESS merchant_id=M020
2026-02-16 16:45:10,490 | INFO | pipeline | SUCCESS merchant_id=M021
2026-02-16 16:45:10,499 | INFO | pipeline | SUCCESS merchant_id=M022
2026-02-16 16:45:10,506 | INFO | pipeline | SUCCESS merchant_id=M025
2026-02-16 16:45:10,518 | INFO | pipeline | SUCCESS merchant_id=M026
2026-02-16 16:45:10,524 | INFO | pipeline | SUCCESS merchant_id=M024
2026-02-16 16:45:10,530 | INFO | pipeline | SUCCESS merchant_id=M023
2026-02-16 16:45:10,545 | INFO | pipeline | SUCCESS merchant_id=M027
2026-02-16 16:45:10,551 | INFO | pipeline | SUCCESS merchant_id=M028
2026-02-16 16:45:10,567 | INFO | pipeline | SUCCESS merchant_id=M029
2026-02-16 16:45:10,578 | INFO | pipeline | SUCCESS merchant_id=M030
2026-02-16 16:45:10,609 | INFO | pipeline | SUCCESS merchant_id=M031
2026-02-16 16:45:10,617 | INFO | pipeline | SUCCESS merchant_id=M032
2026-02-16 16:45:10,624 | INFO | pipeline | SUCCESS merchant_id=M033
2026-02-16 16:45:10,637 | INFO | pipeline | SUCCESS merchant_id=M034
2026-02-16 16:45:10,643 | INFO | pipeline | SUCCESS merchant_id=M035
2026-02-16 16:45:10,649 | INFO | pipeline | SUCCESS merchant_id=M036
2026-02-16 16:45:10,656 | INFO | pipeline | SUCCESS merchant_id=M037
2026-02-16 16:45:10,681 | INFO | pipeline | SUCCESS merchant_id=M038
2026-02-16 16:45:10,687 | INFO | pipeline | SUCCESS merchant_id=M039
2026-02-16 16:45:10,703 | INFO | pipeline | SUCCESS merchant_id=M040
2026-02-16 16:45:10,728 | INFO | pipeline | SUCCESS merchant_id=M041
2026-02-16 16:45:10,741 | INFO | pipeline | SUCCESS merchant_id=M042
2026-02-16 16:45:10,748 | INFO | pipeline | SUCCESS merchant_id=M043
2026-02-16 16:45:10,754 | INFO | pipeline | SUCCESS merchant_id=M044
2026-02-16 16:45:10,759 | INFO | pipeline | SUCCESS merchant_id=M045
2026-02-16 16:45:10,776 | INFO | pipeline | SUCCESS merchant_id=M046
2026-02-16 16:45:10,783 | INFO | pipeline | SUCCESS merchant_id=M047
2026-02-16 16:45:10,785 | INFO | pipeline | SUCCESS merchant_id=M048
2026-02-16 16:45:10,788 | INFO | pipeline | SUCCESS merchant_id=M049
2026-02-16 16:45:10,793 | INFO | pipeline | SUCCESS merchant_id=M050
2026-02-16 16:45:10,807 | INFO | pipeline | Fetched internal risk for 50 merchants
2026-02-16 16:45:10,808 | INFO | pipeline | [STEP 6/10] Building enriched dataset
2026-02-16 16:45:10,839 | INFO | pipeline | Final dataset size: 50
2026-02-16 16:45:10,849 | INFO | pipeline | [STEP 7/10] Waiting for PDF processing to complete
2026-02-16 16:45:10,850 | INFO | pipeline | Extracted 649 characters from PDF
